device_id,file_id,wafer_id,lot_id,part_type,x_coord,y_coord,site_num,head_num,pass_fail,hard_bin,soft_bin,num_tests_run,test_time_ms,part_id,attempt_index,ingestion_ts,ingestion_date
7f9e492c365239a3_35,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,20,-5,0,1,PASS,1,1,72,0,35,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_36,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,21,-5,0,1,PASS,1,1,72,0,36,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_37,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-5,0,1,FAIL,2,2,51,0,37,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_38,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-5,0,1,FAIL,10,10,11,0,38,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_39,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-5,0,1,PASS,1,1,74,0,39,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_40,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-5,0,1,PASS,1,1,72,0,40,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_41,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-5,0,1,PASS,1,1,72,0,41,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_42,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-5,0,1,PASS,1,1,72,0,42,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_43,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-5,0,1,PASS,1,1,72,0,43,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_44,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-5,0,1,PASS,1,1,72,0,44,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_45,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-5,0,1,PASS,1,1,74,0,45,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_46,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,31,-5,0,1,PASS,1,1,72,0,46,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_47,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,32,-5,0,1,PASS,1,1,72,0,47,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_48,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,33,-5,0,1,PASS,1,1,72,0,48,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_49,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,34,-5,0,1,FAIL,8,8,32,0,49,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_50,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,35,-5,0,1,PASS,1,1,74,0,50,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_51,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,36,-6,0,1,PASS,1,1,72,0,51,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_52,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,35,-6,0,1,PASS,1,1,72,0,52,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_53,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,34,-6,0,1,PASS,1,1,72,0,53,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_54,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,33,-6,0,1,PASS,1,1,72,0,54,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_55,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,32,-6,0,1,PASS,1,1,72,0,55,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_56,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,31,-6,0,1,PASS,1,1,74,0,56,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_57,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,30,-6,0,1,PASS,1,1,72,0,57,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_58,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,29,-6,0,1,PASS,1,1,72,0,58,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_59,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,28,-6,0,1,FAIL,10,10,11,0,59,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_60,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,27,-6,0,1,PASS,1,1,74,0,60,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_61,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,26,-6,0,1,PASS,1,1,72,0,61,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_62,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,25,-6,0,1,PASS,1,1,72,0,62,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_63,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,24,-6,0,1,PASS,1,1,72,0,63,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_64,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,23,-6,0,1,PASS,1,1,72,0,64,0,2026-03-24T15:03:32Z,2026-03-24
7f9e492c365239a3_65,7f9e492c365239a3,R114792-03,W118892,AB24ROOM,22,-6,0,1,PASS,1,1,72,0,65,0,2026-03-24T15:03:32Z,2026-03-24
